antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'back'}),frozenset({'book'}),0.033312268664800936,0.6889049381601516,0.024103999277782794,0.7235772357723578,1.0503295820535195,1.0,0.0011550128932837495,1.1254321354794516,0.04956915547758078,0.034527350316824,0.11145242038607293,0.37928304849815636
frozenset({'back'}),frozenset({'read'}),0.033312268664800936,0.3473864764828022,0.013270741175408505,0.39837398373983746,1.1467745888477598,1.0,0.0016985095402948461,1.0847495053056126,0.1323995791816915,0.03611793611793612,0.07812818064548066,0.21828782347075032
frozenset({'bad'}),frozenset({'book'}),0.017784598718064457,0.6889049381601516,0.012458246817730433,0.7005076142131981,1.0168422018922285,1.0,0.00020634893765912599,1.0387411386855958,0.016863144714407623,0.017945383615084527,0.03729623988380596,0.3592958723667222
frozenset({'beautiful'}),frozenset({'book'}),0.01859709307574253,0.6889049381601516,0.013270741175408505,0.7135922330097088,1.0358355608764964,1.0,0.00045911192010551424,1.086196317610318,0.035251374029512623,0.019115734720416125,0.07935611289859087,0.36642788167324647
frozenset({'believe'}),frozenset({'book'}),0.0175137672655051,0.6889049381601516,0.012999909722849147,0.7422680412371134,1.0774607643537553,1.0,0.0009345889678550687,1.2070488399386117,0.07317350199597755,0.018747558911600053,0.1715331087589976,0.3805692191508592
frozenset({'best'}),frozenset({'book'}),0.08133971291866028,0.6889049381601516,0.057145436490024376,0.702552719200888,1.019810833519622,1.0,0.0011101065918302302,1.0458830250660578,0.021145997893628414,0.08013672616786935,0.043870130756888254,0.39275191981535684
frozenset({'ever'}),frozenset({'best'}),0.05181908458969035,0.08133971291866028,0.019860973187686197,0.3832752613240418,4.712031153924985,1.0,0.01564602372345301,1.4895791095612683,0.8308301524239827,0.1752988047808765,0.32866942508710806,0.3137242011392684
frozenset({'best'}),frozenset({'one'}),0.08133971291866028,0.20673467545364269,0.03412476302247901,0.4195338512763596,2.0293347033136397,1.0,0.017309023870747307,1.3666004921917168,0.5521384479717814,0.13437611091361534,0.2682572516886577,0.2922996767298829
frozenset({'best'}),frozenset({'read'}),0.08133971291866028,0.3473864764828022,0.0388191748668412,0.4772475027746948,1.3738229179405652,1.0,0.01056285859790514,1.2484178018874632,0.2961967054263567,0.09956008335262793,0.19898610986793394,0.29449693226052825
frozenset({'better'}),frozenset({'book'}),0.057867653696849326,0.6889049381601516,0.04197887514670037,0.7254290171606865,1.0530175891873836,1.0,0.002113562755199319,1.1330223559053572,0.053440736573564795,0.0595619315998463,0.11740488191785402,0.3931823371742366
frozenset({'better'}),frozenset({'read'}),0.057867653696849326,0.3473864764828022,0.021124853299629865,0.3650546021840874,1.0508601425138089,1.0,0.0010224129795543754,1.0278262127138178,0.05137132149397398,0.05499412455934196,0.027072877077484646,0.2129327064974491
frozenset({'big'}),frozenset({'book'}),0.016159610002708314,0.6889049381601516,0.011826306761758599,0.7318435754189945,1.0623288277966456,1.0,0.0006938716321506604,1.160125334777768,0.05963556587874527,0.017059512957416333,0.1380241685769594,0.3745051974854113
frozenset({'bit'}),frozenset({'book'}),0.024013722126929673,0.6889049381601516,0.016881827209533268,0.7030075187969925,1.0204710111013349,1.0,0.0003386554526857155,1.0474846385999959,0.020553931750044715,0.024254215304798963,0.04533206201807502,0.3637564130480835
frozenset({'books'}),frozenset({'book'}),0.14787397309740904,0.6889049381601516,0.09695766001624989,0.6556776556776557,0.9517679716867242,1.0,-0.004913450275916609,0.9034994881093469,-0.056132165328443964,0.13105552165954854,-0.10680748927992098,0.39820968355891695
frozenset({'boring'}),frozenset({'book'}),0.01643044145526767,0.6889049381601516,0.01263880111943667,0.7692307692307693,1.1165992963922464,1.0,0.0013197888647515036,1.3480786013060098,0.10616796695731992,0.01824579695034537,0.25820349122728714,0.3937884942995676
frozenset({'bought'}),frozenset({'book'}),0.03719418615148506,0.6889049381601516,0.03168727994944479,0.8519417475728155,1.2366608226790823,1.0,0.006064021438838812,2.1011666471806145,0.1987636957163446,0.04563182527301091,0.5240739227696104,0.448969170208895
frozenset({'buy'}),frozenset({'book'}),0.03385393156991965,0.6889049381601516,0.026992868105082602,0.7973333333333333,1.1573923906871098,1.0,0.0036707274704291006,1.5350085288150412,0.14075386152933633,0.03879589983132217,0.34853782162894187,0.41825780806360024
frozenset({'came'}),frozenset({'book'}),0.016881827209533268,0.6889049381601516,0.012458246817730433,0.7379679144385026,1.0712187902287111,1.0,0.0008282726879165515,1.1872403380418701,0.06762553066900895,0.017968750000000002,0.1577105595575432,0.3780260224793745
frozenset({'cant'}),frozenset({'book'}),0.036833077548072586,0.6889049381601516,0.026270650898257652,0.713235294117647,1.0353174358460457,1.0,0.0008961618877546366,1.084844318210753,0.035417188057122774,0.03755807950438823,0.07820875012802547,0.37568461075951803
frozenset({'chapter'}),frozenset({'book'}),0.01643044145526767,0.6889049381601516,0.012909632571996028,0.7857142857142857,1.14052642417208,1.0,0.0015906203173108608,1.4517769552526256,0.12527014059827282,0.018644067796610174,0.3111889561396236,0.40222681917741543
frozenset({'character'}),frozenset({'book'}),0.028798411122144985,0.6889049381601516,0.019680418885979958,0.6833855799373041,0.9919882150393812,1.0,-0.0001589487472319559,0.9825675715535805,-0.008247393907255169,0.02819451629591309,-0.017741709528288532,0.3559766321911655
frozenset({'characters'}),frozenset({'book'}),0.07122867202311095,0.6889049381601516,0.048027444253859346,0.6742712294043092,0.9787580144295024,1.0,-0.0010423396414516242,0.9550739447145536,-0.02283386278186591,0.06744421906693712,-0.0470393476170827,0.3719934315020498
frozenset({'child'}),frozenset({'book'}),0.017152658662092625,0.6889049381601516,0.013090186873702265,0.763157894736842,1.1077840387891495,1.0,0.0012736356188111555,1.3135124833238039,0.09899500511524333,0.018890046899426784,0.23868253047011012,0.39107966811275335
frozenset({'children'}),frozenset({'book'}),0.02256928771327977,0.6889049381601516,0.01769432156721134,0.784,1.1380380028829775,1.0,0.0021462278107756694,1.440254915925224,0.12409546805699286,0.025504229017566687,0.30567846778874075,0.40484235355785614
frozenset({'class'}),frozenset({'book'}),0.01661099575697391,0.6889049381601516,0.013361018326261622,0.8043478260869564,1.167574481662327,1.0,0.0019176213215249694,1.5900414271814465,0.14594793085566973,0.01930350854310682,0.3710855686492213,0.4118712004239002
frozenset({'classic'}),frozenset({'book'}),0.020131804640245554,0.6889049381601516,0.012097138214317956,0.600896860986547,0.8722493158364542,1.0,-0.0017717614164226604,0.7794853796661368,-0.1300340764108333,0.017357512953367876,-0.28289769902844397,0.3092284069052772
frozenset({'clear'}),frozenset({'book'}),0.014444344136499051,0.6889049381601516,0.010923535253227408,0.75625,1.0977566832656271,1.0,0.0009727552491085797,1.2762874331891214,0.09035646126255438,0.01577574967405476,0.21647743760882182,0.38605318765561525
frozenset({'come'}),frozenset({'book'}),0.02717342240678884,0.6889049381601516,0.018416538774036293,0.6777408637873755,0.9837944631336337,1.0,-0.00030336610871225383,0.9653568413793236,-0.016650660000975086,0.026397515527950312,-0.03588637603808502,0.3522369631477829
frozenset({'comes'}),frozenset({'book'}),0.014354066985645933,0.6889049381601516,0.010381872348108693,0.7232704402515723,1.0498842440920806,1.0,0.0004932847190156076,1.124184428012179,0.04820599409033347,0.014983713355048861,0.11046624105242786,0.36917027450922213
frozenset({'condition'}),frozenset({'book'}),0.016972104360386386,0.6889049381601516,0.01363184977882098,0.8031914893617021,1.165895967456372,1.0,0.001939683273981356,1.5806992331322027,0.14474720524206028,0.01969222743870631,0.36736858028426433,0.4114895986973627
frozenset({'copy'}),frozenset({'book'}),0.021756793355601697,0.6889049381601516,0.01670127290782703,0.7676348547717842,1.1142827003416398,1.0,0.0017129105266230436,1.3388198197036327,0.10484271647062347,0.0240666059581111,0.253073501540062,0.39593903661141955
