antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)"", 'To Kill A Mockingbird', 'To Kill a Mocking Bird'})",frozenset({'To kill a mockingbird'}),0.005733969566679305,0.005780470879447135,0.005733969566679305,1.0,172.99628712871288,1.0,0.00570082452257548,inf,0.9999532305124137,0.9919554455445544,1.0,0.9959777227722773
"frozenset({'To Kill a Mockingbird', 'To kill a mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)"", 'To Kill A Mockingbird'})",frozenset({'To Kill a Mocking Bird'}),0.005733969566679305,0.005784047903506199,0.005733969566679305,1.0,172.88930117501545,1.0,0.0057008040120283855,inf,0.9999496328595224,0.9913419913419914,1.0,0.9956709956709957
"frozenset({'To Kill a Mockingbird', 'To kill a mockingbird', 'To Kill a Mocking Bird', 'To Kill A Mockingbird'})","frozenset({""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)""})",0.005733969566679305,0.0057482776629155605,0.005733969566679305,1.0,173.96515245799628,1.0,0.005701009117499325,inf,0.9999856093884351,0.9975108898568763,1.0,0.9987554449284382
"frozenset({""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)"", 'To kill a mockingbird'})",frozenset({'To Kill A Mockingbird'}),0.005737546590738369,0.005744700638856497,0.005737546590738369,1.0,174.07347447073474,1.0,0.005704586103173086,inf,0.9999928046683312,0.9987546699875466,1.0,0.9993773349937733
"frozenset({'To kill a mockingbird', 'To Kill A Mockingbird'})",frozenset({'To Kill a Mocking Bird'}),0.005737546590738369,0.005784047903506199,0.005737546590738369,1.0,172.88930117501545,1.0,0.00570436034640894,inf,0.9999532303441527,0.9919604205318491,1.0,0.9959802102659245
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)""})",frozenset({'To Kill A Mockingbird'}),0.005733969566679305,0.005744700638856497,0.005733969566679305,1.0,174.07347447073474,1.0,0.0057010296280464185,inf,0.9999892070413262,0.9981320049813198,1.0,0.9990660024906599
"frozenset({'To Kill a Mockingbird', 'To Kill A Mockingbird'})","frozenset({""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)""})",0.005733969566679305,0.0057482776629155605,0.005733969566679305,1.0,173.96515245799628,1.0,0.005701009117499325,inf,0.9999856093884351,0.9975108898568763,1.0,0.9987554449284382
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)""})",frozenset({'To kill a mockingbird'}),0.005733969566679305,0.005780470879447135,0.005733969566679305,1.0,172.99628712871288,1.0,0.00570082452257548,inf,0.9999532305124137,0.9919554455445544,1.0,0.9959777227722773
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)""})",frozenset({'To Kill a Mocking Bird'}),0.005733969566679305,0.005784047903506199,0.005733969566679305,1.0,172.88930117501545,1.0,0.0057008040120283855,inf,0.9999496328595224,0.9913419913419914,1.0,0.9956709956709957
"frozenset({'To Kill a Mockingbird', ""Harper Lee's To Kill a Mockingbird (Barron's Book Notes)"", 'To Kill A Mockingbird'})",frozenset({'To Kill a Mocking Bird'}),0.005733969566679305,0.005784047903506199,0.005733969566679305,1.0,172.88930117501545,1.0,0.0057008040120283855,inf,0.9999496328595224,0.9913419913419914,1.0,0.9956709956709957
